5000	499.000000	1682.666667	13.666667	30.666667
10000	1156.333333	3987.666667	26.333333	43.666667
15000	1797.666667	5686.333333	48.000000	61.333333
20000	2445.000000	8107.000000	61.333333	87.333333
25000	2940.333333	10082.333333	76.666667	115.333333
30000	3782.000000	12004.333333	100.333333	145.333333
35000	4520.000000	14117.000000	110.666667	246.333333
40000	5197.000000	17155.000000	128.000000	215.666667
45000	5733.000000	19577.000000	153.000000	228.333333
50000	6463.000000	21001.333333	172.333333	353.333333
