40000	1306.000000	11.000000	514.000000	10.000000
50000	1622.000000	32.000000	645.000000	14.000000
60000	1937.000000	15.000000	775.000000	16.000000
70000	2261.000000	20.000000	893.000000	18.000000
80000	2581.000000	21.000000	1019.000000	22.000000
90000	2897.000000	24.000000	1142.000000	24.000000
100000	3219.000000	26.000000	1272.000000	26.000000
110000	3550.000000	29.000000	1396.000000	29.000000
120000	3871.000000	31.000000	1525.000000	32.000000
130000	4188.000000	36.000000	1650.000000	34.000000
