5000	1541.000000	13.000000	463.000000	9.000000
10000	3500.000000	21.000000	1020.000000	21.000000
15000	5479.000000	33.000000	1696.000000	31.000000
20000	7545.000000	50.000000	2135.000000	46.000000
25000	9410.000000	61.000000	2745.000000	63.000000
30000	11994.000000	76.000000	3762.000000	79.000000
35000	13469.000000	94.000000	4042.000000	90.000000
40000	15999.000000	110.000000	4898.000000	108.000000
45000	20470.000000	130.000000	5299.000000	128.000000
50000	20943.000000	150.000000	6157.000000	151.000000
