40000	568.000000	1400.000000	28.000000	43.000000
50000	774.000000	1667.000000	10.000000	43.000000
60000	859.000000	2002.000000	11.000000	19.000000
70000	1003.000000	2338.000000	12.000000	22.000000
80000	1140.000000	2665.000000	13.000000	25.000000
90000	1309.000000	3001.000000	16.000000	28.000000
100000	1420.000000	3345.000000	17.000000	31.000000
110000	1560.000000	3672.000000	18.000000	35.000000
120000	1717.000000	4006.000000	20.000000	38.000000
130000	1854.000000	4342.000000	22.000000	40.000000
