5000	480.000000	1693.000000	11.000000	27.000000
10000	1121.000000	3982.000000	27.000000	63.000000
15000	1687.000000	5476.000000	39.000000	98.000000
20000	2347.000000	8521.000000	53.000000	136.000000
25000	3033.000000	10369.000000	73.000000	190.000000
30000	3721.000000	12553.000000	106.000000	198.000000
35000	4367.000000	14734.000000	117.000000	254.000000
40000	5110.000000	17483.000000	123.000000	292.000000
45000	5836.000000	19405.000000	145.000000	327.000000
50000	6313.000000	21291.000000	177.000000	351.000000
