Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.49.25      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.49.26     1000      5784   93,00    0,00    0,00   93,00     0  node
14.49.27     1000      5784   86,00    1,00    0,00   87,00     0  node
14.49.28     1000      5784   39,00    1,00    0,00   40,00     0  node
14.49.29     1000      5784    0,00    0,00    0,00    0,00     0  node
14.49.30     1000      5784    0,00    0,00    0,00    0,00     0  node
Average:     1000      5784   44,04    0,40    0,00   44,44     -  node
