Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.49.25      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
14.49.26     1000      5784   6672,00      0,00 1010996 112988   3,04  node
14.49.27     1000      5784   1800,00      0,00 1007924 118228   3,18  node
14.49.28     1000      5784   2040,00      0,00  993588 103832   2,79  node
14.49.29     1000      5784      0,00      0,00  993588 103832   2,79  node
14.49.30     1000      5784      0,00      0,00  993588 103832   2,79  node
Average:     1000      5784   2123,64      0,00  999937 108542   2,92  node
