Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

15.52.42      UID       PID    %usr %system  %guest    %CPU   CPU  Command
15.52.43     1000      5778   92,00    1,00    0,00   93,00     0  node
15.52.44     1000      5778    5,15    1,03    0,00    6,19     0  node
15.52.45     1000      5778    0,00    0,00    0,00    0,00     0  node
15.52.46     1000      5778    0,00    0,00    0,00    0,00     0  node
15.52.47     1000      5778    0,00    0,00    0,00    0,00     0  node
Average:     1000      5778   19,76    0,41    0,00   20,16     -  node
