Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

15.52.47      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
15.52.48     1000      5828     20,20      0,00 1784904  47792   1,28  java
15.52.49     1000      5828      0,00      0,00 1784904  47792   1,28  java
15.52.50     1000      5828     48,00      0,00 1784904  47792   1,28  java
15.52.51     1000      5828      0,00      0,00 1784904  47792   1,28  java
15.52.52     1000      5828      0,00      0,00 1784904  47792   1,28  java
Average:     1000      5828     13,60      0,00 1784904  47792   1,28  java
