Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

15.52.42      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
15.52.43     1000      5778  11240,00      0,00  937084  64868   1,74  node
15.52.44     1000      5778    450,52      0,00  938108  66716   1,79  node
15.52.45     1000      5778      0,00      0,00  938108  66716   1,79  node
15.52.46     1000      5778      0,00      0,00  938108  66716   1,79  node
15.52.47     1000      5778      0,00      0,00  938108  66716   1,79  node
Average:     1000      5778   2378,21      0,00  937903  66346   1,78  node
