Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

15.52.37      UID       PID    %usr %system  %guest    %CPU   CPU  Command
15.52.38     1000      5784   90,00    3,00    0,00   93,00     0  node
15.52.39     1000      5784   89,00    1,00    0,00   90,00     0  node
15.52.40     1000      5784   25,25    1,01    0,00   26,26     0  node
15.52.41     1000      5784    0,00    0,00    0,00    0,00     0  node
15.52.42     1000      5784    0,00    0,00    0,00    0,00     0  node
Average:     1000      5784   41,21    1,01    0,00   42,22     -  node
