Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

15.52.31      UID       PID    %usr %system  %guest    %CPU   CPU  Command
15.52.32     1000      6208   95,96    0,00    0,00   95,96     0  node
15.52.33     1000      6208   89,00    0,00    0,00   89,00     0  node
15.52.34     1000      6208   95,05    0,00    0,00   95,05     0  node
15.52.35     1000      6208   97,98    0,00    0,00   97,98     0  node
15.52.36     1000      6208   44,44    0,00    0,00   44,44     0  node
Average:     1000      6208   84,54    0,00    0,00   84,54     -  node
