30	69	101	139	179	217	277	395	311	354
27	55	85	118	155	189	225	268	316	344
27	56	85	121	152	192	242	266	305	354
27	58	84	118	154	191	230	269	311	346
27	54	84	121	160	187	229	266	307	341
28	55	91	120	161	191	227	272	304	342
30	54	83	119	153	191	234	264	310	350
27	51	87	116	155	195	225	265	306	355
27	52	82	122	154	190	228	262	304	349
27	51	84	118	160	190	228	270	306	351
30	59	98	129	179	218	269	397	302	359
27	55	83	121	152	184	219	285	343	379
30	60	109	153	152	188	246	259	298	337
27	59	82	117	148	193	231	272	304	348
27	52	86	115	154	191	234	265	313	342
27	55	82	118	153	194	233	268	311	354
27	53	83	120	155	188	230	266	318	343
27	59	85	122	156	193	225	271	313	340
31	52	84	120	153	191	227	274	306	354
27	53	82	117	155	191	245	273	311	345
27	51	86	117	157	192	229	266	308	358
27	53	88	120	160	193	228	269	315	388
29	59	98	129	167	223	359	265	301	336
27	57	83	120	150	185	225	261	298	339
27	54	82	121	172	185	226	258	300	342
27	51	85	120	152	190	231	263	310	356
30	51	85	126	155	189	230	262	308	356
27	54	86	118	155	192	230	269	304	357
26	53	87	118	157	194	228	272	307	366
27	52	87	121	157	193	231	268	309	355
27	52	85	119	151	192	226	288	310	354
27	55	85	122	152	191	231	268	313	343
27	55	84	122	153	201	248	296	340	484
26	53	85	119	152	188	228	264	300	353
27	54	82	122	153	193	234	260	306	337
27	54	83	119	154	189	230	261	300	341
26	53	84	116	151	191	222	267	315	349
27	54	86	127	154	188	231	265	304	345
27	52	83	118	151	194	226	267	307	351
27	54	82	121	153	192	228	271	306	342
31	52	86	119	156	188	227	262	319	346
28	56	87	120	154	198	228	266	298	357
27	52	90	120	157	189	232	271	308	379
30	58	95	128	166	216	371	263	305	334
31	54	86	119	153	189	238	268	299	338
26	53	85	120	157	186	226	264	300	350
27	51	83	118	157	193	223	260	303	337
27	56	83	120	154	193	232	266	300	345
28	56	83	122	158	192	230	272	307	342
29	53	85	118	153	189	228	273	306	347
28	51	82	118	160	193	236	264	308	356
26	53	86	117	163	192	228	285	300	354
26	52	91	126	157	195	233	262	309	352
28	53	84	126	155	199	247	301	356	491
27	51	85	116	151	193	228	271	298	346
27	54	85	116	147	192	229	265	300	336
27	54	85	121	159	187	227	264	311	338
27	51	81	120	150	196	223	263	304	356
28	55	88	115	155	192	227	276	306	346
28	52	87	115	159	194	228	264	305	343
27	54	86	121	155	187	231	261	307	346
27	58	84	120	153	194	227	277	309	345
31	53	84	122	153	188	230	262	328	360
28	51	85	115	159	193	225	273	309	389
30	57	98	132	172	225	353	268	299	337
30	51	86	118	152	192	229	257	311	342
27	53	86	116	156	188	232	263	300	344
27	53	86	123	152	194	234	267	300	349
27	56	84	120	151	193	226	269	306	342
28	55	88	119	152	188	229	269	305	340
28	52	84	123	159	194	253	267	306	343
27	53	86	116	154	200	228	274	306	355
27	52	86	118	162	192	238	268	304	346
27	55	88	120	152	189	231	268	305	363
30	53	87	119	153	198	249	298	342	496
27	52	87	115	151	197	225	263	304	343
28	55	82	118	152	186	228	262	304	335
27	57	81	119	151	188	227	264	304	339
30	53	83	118	153	195	224	279	303	343
27	52	85	117	153	197	227	268	303	361
28	51	87	116	161	192	235	268	310	349
27	55	83	125	154	192	237	264	304	344
28	58	84	120	157	189	227	264	307	350
