Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

13.16.04      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
13.16.05     1000      5778    507,14      0,00  909436  46380   1,25  node
13.16.06     1000      5778      0,00      0,00  909436  46380   1,25  node
13.16.07     1000      5778      0,00      0,00  909436  46380   1,25  node
13.16.08     1000      5778      0,00      0,00  909436  46380   1,25  node
13.16.09     1000      5778      0,00      0,00  909436  46380   1,25  node
Average:     1000      5778    100,81      0,00  909436  46380   1,25  node
