Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

13.15.48      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
13.15.49     1000      5784  12105,94      0,00 1010996 112252   3,02  node
13.15.50     1000      5784   1314,29      0,00 1014068 115352   3,10  node
13.15.51     1000      5784      0,00      0,00 1014068 115352   3,10  node
13.15.52     1000      5784      0,00      0,00 1014068 115352   3,10  node
13.15.53     1000      5784      0,00      0,00 1014068 115352   3,10  node
Average:     1000      5784   2746,95      0,00 1013454 114732   3,08  node
