Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

16.04.07      UID       PID    %usr %system  %guest    %CPU   CPU  Command
16.04.08     1000      5784   13,13    1,01    0,00   14,14     0  node
16.04.09     1000      5784    0,00    0,00    0,00    0,00     0  node
16.04.10     1000      5784    0,00    0,00    0,00    0,00     0  node
16.04.11     1000      5784    0,00    0,00    0,00    0,00     0  node
16.04.12     1000      5784    0,00    0,00    0,00    0,00     0  node
Average:     1000      5784    2,62    0,20    0,00    2,82     -  node
