Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.54.30      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.54.31     1000      5784   13,00    0,00    0,00   13,00     0  node
14.54.32     1000      5784    0,00    0,00    0,00    0,00     0  node
14.54.33     1000      5784    0,00    0,00    0,00    0,00     0  node
14.54.34     1000      5784    0,00    0,00    0,00    0,00     0  node
14.54.35     1000      5784    0,00    0,00    0,00    0,00     0  node
Average:     1000      5784    2,63    0,00    0,00    2,63     -  node
