Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.57.39      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.57.40     1000      5784   32,65    1,02    0,00   33,67     0  node
14.57.41     1000      5784    0,00    0,00    0,00    0,00     0  node
14.57.42     1000      5784    0,00    0,00    0,00    0,00     0  node
14.57.43     1000      5784    0,00    0,00    0,00    0,00     0  node
14.57.44     1000      5784    0,00    0,00    0,00    0,00     0  node
Average:     1000      5784    6,52    0,20    0,00    6,72     -  node
