Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.55.04      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.55.05     1000      5778   93,00    1,00    0,00   94,00     0  node
14.55.06     1000      5778    3,06    0,00    0,00    3,06     0  node
14.55.07     1000      5778    0,00    0,00    0,00    0,00     0  node
14.55.08     1000      5778    0,00    0,00    0,00    0,00     0  node
14.55.09     1000      5778    0,00    0,00    0,00    0,00     0  node
Average:     1000      5778   19,47    0,20    0,00   19,68     -  node
