Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.54.40      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.54.41     1000      5828   92,08    0,00    0,00   92,08     0  java
14.54.42     1000      5828   91,92    0,00    0,00   91,92     0  java
14.54.43     1000      5828   96,00    0,00    0,00   96,00     0  java
14.54.44     1000      5828   97,00    0,00    0,00   97,00     0  java
14.54.45     1000      5828   96,04    0,00    0,00   96,04     0  java
Average:     1000      5828   94,61    0,00    0,00   94,61     -  java
