Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.57.39      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
14.57.40     1000      5784   3037,11      0,00 1005876 101208   2,72  node
14.57.41     1000      5784      0,00      0,00 1005876 101208   2,72  node
14.57.42     1000      5784      0,00      0,00 1005876 101208   2,72  node
14.57.43     1000      5784      0,00      0,00 1005876 101208   2,72  node
14.57.44     1000      5784      0,00      0,00 1005876 101208   2,72  node
Average:     1000      5784    601,22      0,00 1005876 101208   2,72  node
