Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.55.04      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
14.55.05     1000      5778   6302,00      0,00  930940  67688   1,82  node
14.55.06     1000      5778    190,82      0,00  931964  68480   1,84  node
14.55.07     1000      5778      0,00      0,00  931964  68480   1,84  node
14.55.08     1000      5778      0,00      0,00  931964  68480   1,84  node
14.55.09     1000      5778      0,00      0,00  931964  68480   1,84  node
Average:     1000      5778   1316,23      0,00  931759  68322   1,84  node
