Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.57.50      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.57.51     1000      5828   95,00    0,00    0,00   95,00     0  java
14.57.52     1000      5828   90,00    0,00    0,00   90,00     0  java
14.57.53     1000      5828   97,00    0,00    0,00   97,00     0  java
14.57.54     1000      5828   97,00    0,00    0,00   97,00     0  java
14.57.55     1000      5828   96,00    0,00    0,00   96,00     0  java
Average:     1000      5828   95,00    0,00    0,00   95,00     -  java
