Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.58.18      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14.58.19     1000      6208   95,00    0,00    0,00   95,00     0  node
14.58.20     1000      6208   90,00    0,00    0,00   90,00     0  node
14.58.21     1000      6208   96,00    0,00    0,00   96,00     0  node
14.58.22     1000      6208   96,00    0,00    0,00   96,00     0  node
14.58.23     1000      6208   95,00    0,00    0,00   95,00     0  node
Average:     1000      6208   94,40    0,00    0,00   94,40     -  node
