Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

12.26.09      UID       PID    %usr %system  %guest    %CPU   CPU  Command
12.26.10     1000      5784   92,00    2,00    0,00   94,00     0  node
12.26.11     1000      5784   12,24    0,00    0,00   12,24     0  node
12.26.12     1000      5784    0,00    0,00    0,00    0,00     0  node
12.26.13     1000      5784    0,00    0,00    0,00    0,00     0  node
12.26.14     1000      5784    0,00    0,00    0,00    0,00     0  node
Average:     1000      5784   21,05    0,40    0,00   21,46     -  node
