Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

12.26.19      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
12.26.20     1000      5784    306,06      0,00  975156  84336   2,27  node
12.26.21     1000      5784      0,00      0,00  975156  84336   2,27  node
12.26.22     1000      5784      0,00      0,00  975156  84336   2,27  node
12.26.23     1000      5784      0,00      0,00  975156  84336   2,27  node
12.26.24     1000      5784      0,00      0,00  975156  84336   2,27  node
Average:     1000      5784     62,09      0,00  975156  84336   2,27  node
