40000	526.455000	1304.565000	15.020000	20.345000
50000	654.655000	1620.215000	18.525000	19.110000
60000	785.955000	1947.880000	19.060000	22.400000
70000	916.930000	2269.010000	21.755000	26.630000
80000	1047.740000	2596.020000	24.825000	28.415000
90000	1178.415000	2915.540000	27.955000	31.620000
100000	1309.050000	3236.650000	31.050000	35.280000
110000	1439.540000	3561.585000	34.215000	38.715000
120000	1571.215000	3884.065000	37.185000	42.265000
130000	1701.935000	4206.820000	40.275000	45.485000
