NodeJS-Solmuhub	7.570000	8.730000	4.290000
NodeJS-V8	2.110000	1.310000	1.520000
Java-Duktape	1.310000	1.310000	1.280000
NodeJS-Duktape	0.590000	0.600000	0.440000
