40000	1304.000000	11.000000	524.000000	11.000000
50000	1621.000000	16.000000	671.000000	13.000000
60000	1937.000000	16.000000	782.000000	16.000000
70000	2253.000000	17.000000	910.000000	18.000000
80000	2576.000000	21.000000	1042.000000	21.000000
90000	2892.000000	24.000000	1172.000000	25.000000
100000	3218.000000	27.000000	1305.000000	25.000000
110000	3538.000000	29.000000	1433.000000	30.000000
120000	3861.000000	32.000000	1562.000000	31.000000
130000	4183.000000	35.000000	1695.000000	34.000000
