Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

13.11.34      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
13.11.35     1000      5784  12036,63      0,00 1005876 107256   2,88  node
13.11.36     1000      5784     13,27      0,00 1005876 115472   3,10  node
13.11.37     1000      5784      0,00      0,00 1005876 115472   3,10  node
13.11.38     1000      5784      0,00      0,00 1005876 115472   3,10  node
13.11.39     1000      5784      0,00      0,00 1005876 115472   3,10  node
Average:     1000      5784   2473,58      0,00 1005876 113829   3,06  node
