40000	551.000000	1409.000000	27.000000	26.000000
50000	736.000000	1687.000000	11.000000	16.000000
60000	822.000000	2018.000000	11.000000	20.000000
70000	949.000000	2370.000000	12.000000	23.000000
80000	1094.000000	2691.000000	13.000000	26.000000
90000	1221.000000	3028.000000	15.000000	29.000000
100000	1376.000000	3367.000000	17.000000	32.000000
110000	1494.000000	3712.000000	18.000000	35.000000
120000	1640.000000	4042.000000	20.000000	39.000000
130000	1763.000000	4373.000000	21.000000	43.000000
