5000	483.000000	1988.000000	16.000000	29.000000
10000	1105.000000	3629.000000	26.000000	73.000000
15000	1693.000000	5562.000000	39.000000	98.000000
20000	2346.000000	8709.000000	55.000000	141.000000
25000	3052.000000	10416.000000	74.000000	185.000000
30000	3756.000000	12574.000000	99.000000	194.000000
35000	4359.000000	14203.000000	109.000000	261.000000
40000	5154.000000	16295.000000	129.000000	291.000000
45000	5864.000000	19446.000000	173.000000	322.000000
50000	6334.000000	21918.000000	183.000000	366.000000
