Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

09.37.00      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
09.37.01     1000      5784    272,00      0,00 1026356 127780   3,43  node
09.37.02     1000      5784    281,00      0,00 1027380 128940   3,47  node
09.37.03     1000      5784    240,40      0,00 1029428 129760   3,49  node
09.37.04     1000      5784    203,00      0,00 1029428 130404   3,50  node
09.37.05     1000      5784    148,00      0,00 1030452 130928   3,52  node
09.37.06     1000      5784    144,00      0,00 1030452 119432   3,21  node
09.37.07     1000      5784    335,00      0,00 1031476 118556   3,19  node
09.37.08     1000      5784    146,00      0,00 1032500 119080   3,20  node
09.37.09     1000      5784    341,41      0,00 1032500 119372   3,21  node
09.37.10     1000      5784    459,41      0,00 1033524 120220   3,23  node
Average:     1000      5784    257,16      0,00 1030350 124447   3,34  node
