Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

14.47.23      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
14.47.24     1000      5784  10315,15      0,00  997684  99860   2,68  node
14.47.25     1000      5784     40,82      0,00  997684 102032   2,74  node
14.47.26     1000      5784      0,00      0,00  997684 102032   2,74  node
14.47.27     1000      5784      0,00      0,00  997684 102032   2,74  node
14.47.28     1000      5784      0,00      0,00  997684 102032   2,74  node
Average:     1000      5784   2083,74      0,00  997684 101598   2,73  node
