10	26	38	52	74	93	122	124	142	159
14	24	41	53	76	83	98	123	141	175
13	26	37	53	66	85	97	119	146	167
13	25	38	59	69	82	101	119	162	154
9	23	36	52	64	94	115	134	138	153
10	22	36	50	68	92	110	126	141	158
11	24	38	55	71	84	99	119	146	160
11	22	36	51	65	86	110	141	134	153
10	21	36	50	74	93	110	117	138	158
11	24	39	56	74	88	101	116	137	175
13	24	46	52	67	84	106	118	157	157
10	23	37	50	68	92	108	128	139	159
11	23	35	50	71	93	112	123	136	156
10	24	39	56	76	85	99	115	139	176
13	24	36	51	67	84	98	117	153	171
12	26	36	52	66	81	100	116	151	174
14	24	36	51	67	84	103	123	151	170
11	27	37	51	66	86	100	119	153	152
10	23	36	50	68	88	111	129	135	154
10	23	36	51	69	96	111	126	133	159
13	26	38	57	75	83	98	122	140	178
11	25	36	50	69	82	102	116	153	163
9	25	37	49	65	84	109	134	140	151
10	22	36	50	69	103	112	121	145	168
11	24	38	55	75	84	99	117	142	173
12	24	36	50	69	82	105	123	152	155
10	23	34	49	66	90	109	132	137	156
10	23	36	53	69	92	110	119	135	158
11	24	39	56	72	82	102	116	137	174
13	25	44	50	66	81	99	121	162	156
11	23	36	50	66	88	113	135	136	170
10	23	35	52	71	95	104	121	134	174
11	25	35	53	68	81	98	120	170	153
12	24	36	50	66	87	112	129	140	153
10	23	38	51	68	96	110	120	137	159
12	24	39	58	72	89	100	118	144	178
12	24	36	52	66	81	98	117	154	162
10	23	35	53	70	83	108	138	139	157
10	24	36	51	68	95	109	129	137	174
11	25	40	58	71	82	99	117	148	171
11	25	45	52	68	82	102	116	156	171
13	25	48	51	66	85	101	117	152	168
12	24	36	52	66	88	101	117	149	178
11	25	36	50	66	84	100	119	153	169
12	25	36	53	66	85	99	117	149	154
10	22	36	52	69	86	113	133	140	155
10	23	38	49	71	95	114	123	140	154
11	25	38	57	74	84	100	118	141	182
11	25	36	50	68	82	97	122	148	171
11	25	37	51	68	82	106	117	155	176
11	24	36	52	65	85	98	120	151	181
11	24	50	51	67	82	98	116	151	169
12	24	36	51	68	82	100	118	154	160
12	23	36	53	66	85	110	139	135	152
11	23	36	52	68	94	117	119	141	156
11	25	40	57	73	84	99	118	141	177
13	24	35	53	68	82	103	122	161	168
11	23	34	53	65	86	110	129	134	154
10	23	39	51	67	93	109	129	140	158
10	26	39	58	72	84	99	122	147	164
9	24	36	51	66	88	115	125	133	162
12	26	39	55	78	88	99	116	135	181
11	25	46	52	69	84	99	115	153	162
10	23	35	54	65	86	117	134	137	154
10	23	36	51	72	90	111	118	132	164
11	24	38	57	73	82	101	119	155	166
9	23	36	51	66	90	108	134	137	155
10	23	36	52	69	91	109	131	138	160
11	24	39	57	73	81	99	121	144	159
11	22	38	51	66	84	113	136	138	155
10	23	38	52	68	91	110	128	138	156
11	25	39	59	72	87	100	118	136	171
11	25	45	51	67	83	99	123	146	171
10	23	36	51	69	83	109	132	138	160
10	23	35	49	69	93	111	119	136	153
11	24	38	60	74	85	101	118	139	174
13	24	44	51	66	84	104	117	149	163
10	24	35	49	65	81	103	130	147	154
10	23	38	55	75	85	102	118	141	182
12	24	36	50	66	81	97	125	163	161
10	23	36	52	69	82	108	138	137	155
9	23	35	54	73	100	101	125	136	167
11	23	45	55	73	84	99	116	147	178
11	25	36	52	72	85	102	116	149	171
12	25	49	51	67	82	101	119	148	170
10	25	48	50	68	84	102	116	160	177
12	25	47	52	67	84	114	115	153	162
10	23	38	51	70	83	109	134	140	153
11	23	35	50	70	92	128	123	137	163
11	24	39	59	73	83	100	124	140	177
11	24	36	53	69	82	99	120	156	162
10	22	36	51	66	85	107	138	139	151
11	23	37	49	69	94	115	117	139	162
11	25	38	58	74	85	101	114	136	187
12	27	45	51	66	82	105	119	160	155
10	23	36	50	69	88	107	130	136	156
10	23	37	52	70	94	112	120	136	152
13	25	39	55	74	80	100	119	147	167
10	22	36	49	65	85	111	137	140	153
10	25	36	53	67	93	109	117	143	161
12	24	39	57	73	88	102	121	148	155
10	23	36	55	65	93	113	121	152	155
11	23	38	58	75	84	99	122	140	176
12	25	36	51	66	82	97	118	143	169
12	25	47	52	66	84	99	116	145	174
10	24	48	54	66	81	102	117	146	179
11	25	38	51	65	84	98	129	149	170
11	27	37	50	72	85	100	120	147	170
13	35	36	51	67	82	99	127	145	156
10	23	36	50	69	86	110	126	153	155
10	23	36	51	72	91	100	120	135	186
11	24	37	51	69	89	101	119	155	156
10	22	37	51	65	87	111	126	137	155
10	22	36	51	67	93	109	117	138	155
11	25	41	57	73	89	100	116	135	176
12	25	37	51	67	84	102	121	148	160
10	23	37	50	68	85	110	130	140	159
10	23	36	51	69	93	115	118	135	156
11	26	42	55	73	85	99	115	139	170
11	24	38	56	66	81	99	115	153	164
10	23	37	50	67	81	109	130	139	153
10	23	37	49	67	98	109	118	136	160
13	25	41	57	70	85	98	118	135	169
12	24	38	53	67	88	102	122	148	159
10	23	37	50	67	86	120	127	142	155
10	23	37	50	67	90	110	121	136	163
11	24	38	55	74	84	97	118	141	191
13	24	37	52	66	84	101	120	145	173
12	25	48	53	67	83	100	115	146	170
13	25	48	51	68	82	100	116	147	181
11	24	37	53	67	82	98	115	147	171
12	25	48	51	67	84	100	115	153	174
11	25	36	50	68	83	101	121	141	170
12	23	47	50	72	83	100	117	154	156
10	23	36	50	66	86	111	131	139	156
11	23	37	52	69	90	118	118	142	153
13	26	38	56	72	86	102	122	136	180
11	25	36	53	67	81	98	119	157	152
10	23	35	50	68	86	111	128	135	159
10	23	36	51	68	95	109	120	140	153
11	25	40	56	75	83	108	121	150	167
10	23	35	50	65	88	111	131	137	159
11	24	36	49	68	92	114	121	137	161
11	24	38	57	74	83	102	118	146	162
13	22	35	50	65	85	111	131	136	154
10	23	41	51	67	95	110	121	138	162
10	25	38	56	72	86	97	124	135	174
