5000	1612.000000	17.000000	457.000000	9.000000
10000	3387.000000	20.000000	1025.000000	20.000000
15000	5255.000000	32.000000	1701.000000	33.000000
20000	7856.000000	50.000000	2140.000000	52.000000
25000	9464.000000	60.000000	2746.000000	65.000000
30000	11774.000000	78.000000	3765.000000	76.000000
35000	13917.000000	95.000000	4047.000000	102.000000
40000	15858.000000	108.000000	4902.000000	105.000000
45000	18216.000000	130.000000	5311.000000	127.000000
50000	20487.000000	160.000000	6161.000000	151.000000
