5000	488.845000	1571.640000	10.960000	28.300000
10000	1053.475000	3553.185000	24.045000	53.770000
15000	1678.230000	5221.215000	38.200000	85.515000
20000	2220.440000	8118.935000	52.360000	119.880000
25000	2864.200000	9448.855000	68.910000	155.045000
30000	3533.130000	11556.075000	86.495000	192.605000
35000	4093.720000	15042.540000	104.960000	234.530000
40000	5057.615000	16385.340000	122.350000	270.660000
45000	5610.960000	17817.685000	143.675000	307.665000
50000	6078.470000	20215.905000	164.035000	351.905000
